username, created_at, lng, lat, text
Beam626, Mon Apr 20 04:04:23 +0000 2020, -81.950781, 33.529834, In the 90s I spent my Friday and Saturday nights watching movies from my favorite studio at the time Full Moon Ente… https://t.co/iamtNP80PQ 
tfti_alexx, Mon Apr 20 04:04:23 +0000 2020, -116.952353, 32.799253, @haleyyprestonn Like idk what you’re trying to get out of all this 😂 
KoriMoria, Mon Apr 20 04:04:23 +0000 2020, -119.306608, 37.269176, @IspyJlo 🖤😍🖤 
lieslmarie07, Mon Apr 20 04:04:23 +0000 2020, -90.178629, 30.001244, @BarstoolTulane Corndogs, that's why. 
979_7740, Mon Apr 20 04:04:23 +0000 2020, -85.978600, 35.830522, @KikiTBird @bigredwavenow @self_loathing17 🤣 
alexuslynnaaa21, Mon Apr 20 04:04:23 +0000 2020, -101.916403, 34.989029, i wanna show you i love you, let me hold down 💯 
CarsonByrdotcom, Mon Apr 20 04:04:23 +0000 2020, -77.017853, 39.008349, Register for the census as well as to vote. 
stasiaRLY, Mon Apr 20 04:04:23 +0000 2020, -112.444192, 33.544449, @HeatherS2210 Tammy already came for me 
uhreills, Mon Apr 20 04:04:23 +0000 2020, -116.361320, 43.691846, my JOINTS need indica &amp; my SOUL needs sativa !!! 
RASHAUNALRAFI, Mon Apr 20 04:04:23 +0000 2020, -84.475291, 33.657586, BUT📺📺THA RAZTAHFARYAN APHAARAH⚫🏁WEARING. THE COLOR BLACK DONT CHANGE HIS🏁DEMEANOR TO FEMALE✌UNDERSTAND📺📺 https://t.co/9SX7MGdsT7 
kierrachante, Mon Apr 20 04:04:24 +0000 2020, -84.433106, 33.767195, i'll be damned if my birthday is canceled. lmao fuck that !! 
livy_lou93, Mon Apr 20 04:04:24 +0000 2020, -87.478814, 41.638191, I really wanna do something different to my hair but idk what ☹️ 
michele_missner, Mon Apr 20 04:04:24 +0000 2020, -97.754724, 30.323346, @shannonrwatts He makes me sick. Why don’t the reporters walk out? 
TORlSSECRETS, Mon Apr 20 04:04:24 +0000 2020, -96.959664, 32.595264, I listened to say so while sad and it doesn’t hit the same anymore 💀 
1bebecittta, Mon Apr 20 04:04:24 +0000 2020, -98.540651, 29.417501, Don’t y’all ever ever watch ‘VIDA’ around kids, that shit is full of free prom tbh! 
19brenda61, Mon Apr 20 04:04:24 +0000 2020, -72.973717, 43.605722, HE JUST CAN'T STOP LYING. DOES HE NOT THINK PEOPLE WILL FIND OUT HE'S A HUGE LIAR? GET HIM OUT!  https://t.co/aZsNgef44T 
IGueits, Mon Apr 20 04:04:24 +0000 2020, -117.562152, 34.121670, @Bam_Now @justinvd__ @Avla_ahtnamas @DrewsThatDude You weren’t their ? Haha 
lizetteemily, Mon Apr 20 04:04:24 +0000 2020, -95.228714, 29.660681, I hate nights got me thinking about my whole life and shit 🥺 
j_wiley10, Mon Apr 20 04:04:24 +0000 2020, -97.079654, 32.931834, Turn me up Josh!!! 
AdmiralSideburn, Mon Apr 20 04:04:24 +0000 2020, -75.971167, 40.951391, @TheMinzProject one last MinzFest so you can realize your dreams 
jocelynshartel, Mon Apr 20 04:04:24 +0000 2020, -85.088417, 32.524128, @BrooklynGodSun I know I’m hoping this stuff blows over soon so I can get some maternity pics done too.. every week… https://t.co/s6oPF5c5xX 
misguidedfriend, Mon Apr 20 04:04:24 +0000 2020, -89.266508, 39.739300, @twentyonepilots @tylerrjoseph @joshuadun can you plz add kitchen sink along with the rest of regional at best t… https://t.co/BV3H9lo6eg 
AaronCurrent, Mon Apr 20 04:04:24 +0000 2020, -84.557366, 38.225072, @sleepxpert My dad always told me that,  I was 10 in 98 so I couldn't see it at the time, was all about Jordan to m… https://t.co/4N2VIyJFqQ 
ClayBabineaux, Mon Apr 20 04:04:25 +0000 2020, -95.446486, 29.838495, i’m bored so what should I do with the mullet? 
BallerMom2020, Mon Apr 20 04:04:25 +0000 2020, -79.857363, 36.090397, @Bibleverse072 @lgb1060 
Es_Three_, Mon Apr 20 04:04:25 +0000 2020, -80.407425, 25.707439, Thick girls l dont sell yourself short. There are dudes paying $2500 for silicone that look just like yall 
_Franciscan_, Mon Apr 20 04:04:25 +0000 2020, -122.435979, 37.770657, #SFGiants pretty sure at this point in the season we'd be in 1st place and undefeated. Pretty sure Bum would have a… https://t.co/I8rd55cgIa 
CHXCOOO, Mon Apr 20 04:04:25 +0000 2020, -118.163276, 34.685827, New shoreline go crazy 
drewsefdono, Mon Apr 20 04:04:25 +0000 2020, -95.192680, 29.972668, Rather have no toilet paper than wipe my ass w one ply 
CassieeWilsonn, Mon Apr 20 04:04:25 +0000 2020, -73.401401, 40.847397, I love my friends so much it hurts 
